location,source
WAR_FAC_OPT_A_14,{Insert units}
WAR_FAC_OPT_B_14,{Insert units}
WAR_FAC_OPT_C_14,{Walk away}
WAR_FAC_RES_A_14,{The educational program teaches me some of the language of the warriors!}
WAR_FAC_RES_B_14,{The animated blob senses my withdrawal from the terminal. It has been programmed to start crying at this point.}
WAR_FAC_DESC_15,"{A biological probe antenna launches from the terminal and fuses with my exosuit. I can't move. There's no way to tell if this is a normal function, or a security measure.}"
DNT_WAR_FAC_LANG_15,{Interloper electrification initializing! Punishment commencing!}
WAR_FAC_OPT_A_15,{Escape}
WAR_FAC_OPT_B_15,{Wait}
WAR_FAC_RES_A_15,{I use my jetpack's propulsion to break the probe. It contains something useful...}
WAR_FAC_RES_B_15,{The probe becomes electrified. The smell of burnt flesh spreads up into my visor.}
WAR_FAC_DESC_16,"{The alarm hasn't disrupted the factory's production line. Resources are being drawn from the vaults below me, but they have run dry. I could obtain whatever the mechanisms are creating with the right element...}"
DNT_WAR_FAC_LANG_16,{Grah! Gek war preparation disrupted! Ammunition production stalled! Metal required!}
WAR_FAC_OPT_A_16,{Insert metal}
WAR_FAC_OPT_B_16,{Insert organic matter}
WAR_FAC_OPT_C_16,{Insert catalyst}
WAR_FAC_RES_A_16,{The war factory's work is allowed to continue. I reap my reward.}
WAR_FAC_RES_B_16,{I hear the sound of the manufacturing process imploding with my contribution. The war factory grinds to a halt.}
WAR_FAC_DESC_17,"{Elements are being stockpiled. Storage vaults have been filled by local warriors. There's still space for a metal, but my scanner can't tell which one...}"
DNT_WAR_FAC_LANG_17,{Gek war approaches! Scarce elements required! High Command demand chromatic metal! Contribute warrior!}
WAR_FAC_OPT_A_17,{Insert pure Ferrite}
WAR_FAC_OPT_B_17,{Insert magnetised Ferrite}
WAR_FAC_OPT_C_17,{Insert Chromatic Metal}
WAR_FAC_RES_A_17,{An automated bark of thanks is played. I receive a reward.}
WAR_FAC_RES_B_17,{An automated bark of confusion is played. My contribution goes unrewarded.}
WAR_FAC_DESC_18,{A warrior has booby-trapped the terminal. The security alert has triggered the timer on an explosive charge. There are two wires exposed. The warrior has left a note. Only seconds remain...}
DNT_WAR_FAC_LANG_18,{Grah! Pathetic interloper! Honourable warning: cut red wire? Certain death!}
WAR_FAC_OPT_A_18,{Cut red wire}
WAR_FAC_OPT_B_18,{Cut blue wire}
WAR_FAC_OPT_C_18,{Move back}
WAR_FAC_RES_A_18,"{The explosion takes the terminal out of action, and almost me with it.}"
WAR_FAC_RES_B_18,{The bomb is defused. Operations are restored.}
WAR_FAC_RES_C_18,{I move away just in time. The terminal is damaged and inoperable.}
WAR_FAC_DESC_19,{A secondary security sweep is underway. Scanners emerge from the ceiling and start to pan towards where I stand. If they detect me the facility will go into a full lockdown...}
DNT_WAR_FAC_LANG_19,{Security scan initializing! Motion detection cameras operational!}
WAR_FAC_OPT_A_19,{Move to hiding spot}
WAR_FAC_OPT_B_19,{Stand still}
WAR_FAC_RES_A_19,{The scanners detect me ducking down to hide. The facility becomes offline.}
WAR_FAC_RES_B_19,{The scanners pass over me. Their sweep concludes. The installation remains operational.}
WAR_FAC_DESC_20,{A warrior's heart is on-screen. It is connected to wires and artificial valves. It pumps a biological liquid through harvested organs deep within the facility. Its beat is irregular. It has been compromised by the security alert.}
DNT_WAR_FAC_LANG_20,{Intruder alert! Battle enzyme production halted! Electrical charge removed from body harvest circuit!}
WAR_FAC_OPT_A_20,{Increase electrical flow}
WAR_FAC_OPT_B_20,{Initiate adrenalin flux}
WAR_FAC_OPT_C_20,{Power down systems}
WAR_FAC_RES_A_20,{The heart's beat is maintained. Its strange existence continues. The facility remains online.}
WAR_FAC_RES_B_20,"{The heart beats faster, but then suddenly beats no more. The terminal dies with it.}"
