SCAN_NO_TECH	{No scan technology installed}
SCAN_BROKEN	{Scanner is critically damaged}
SCAN_RECHARGE	{กำลังชาร์จเครื่องสแกน}
WARP_MSG	{Discovered system in %SYSTEM%}
DISCOVER_BEACON	{Discovered beacon %BEACON%}
DISCOVER_RELIC	{Discovered %RELIC%}
DISCOVER_CREATURE	{Discovered %CREATURE%}
DISCOVER_CREATURE_NEW	{Newly discovered %CREATURE%}
DISCOVER_PLANET	{New planet discovered}
DISCOVER_PLANET_BY	{Planet discovered by %USER%}
CTRL_NORMAL	{CONTROL MODE: NORMAL}
CTRL_INVERT	{CONTROL MODE: INVERTED}
CTRL_FLIGHT	{CONTROL MODE: FLIGHT STICK}
PRIMARY_SHIP_SWITCH	{Primary Starship switched}
BEACON_SYNC	{Beacon sync established}
BEACON_BUSY	{Beacon sync busy}
BEACON_TITLE	{%NUMBER% records uploaded}
BEACON_SUB1	{%NUMCLAIMED% claimed // %NUMREJECTED% rejected}
BEACON_SUB2	{%UNITS% units have been credited to your account}
NOOXYGEN	{OXYGEN}
EXTREMECOLD	{EXTREME COLD}
EXTREMEHEAT	{EXTREME HEAT}
RADIATION	{RADIATION}
TOXICGAS	{TOXIC RAIN}
HAZ_CRIT_O2	{DANGER: LOW OXYGEN LEVELS}
HAZ_CRIT_HEAT	{DANGER: HEAT LEVELS CRITICAL}
HAZ_CRIT_COLD	{DANGER: CRITICAL HYPOTHERMIA}
HAZ_CRIT_TOXIC	{DANGER: TOXIC RAIN BREACH}
HAZ_CRIT_RAD	{DANGER: RADIATION BREACH}
HAZ_CRIT_SHIELD	{DANGER: SHIELD COMPROMISED}
EXIT_PLANET	{Exiting atmosphere}
BOOST_ENEMY	{Thrusters offline - Local enemy disruption}
BOOST_ATMOS	{Thrusters offline - Atmospheric interference}
BOOST_FREIGHTER	{Thrusters offline - Large ship proximity}
BOOST_STATION	{Thrusters offline - Space Station proximity}
JUMP_OBSTRUCT	{Pulse engine offline - Planetary interference}
JUMP_ENEMY	{Pulse engine offline - Local enemy disruption}
JUMP_ATMOS	{Pulse engine offline - Atmospheric interference}
JUMP_FREIGHTER	{Pulse engine offline - Large ship proximity}
JUMP_STATION	{Pulse engine offline - Space Station proximity}
JUMP_BLACKHOLE	{Pulse engine offline - Extreme Gravitational Interference}
JUMP_NOFUEL	{Pulse engine offline - Insufficient fuel}
WARN_HOSTILE	{WARNING - HOSTILE SHIPS ON APPROACH}
WARN_HOSTILE2	{Local distress signal issued}
SENTINELS_INCOMING1	{SENTINEL DRONES ALERTED}
SENTINELS_INCOMING2	{WARNING - SENTINEL REINFORCEMENTS DEPLOYED}
SENTINELS_INCOMING3	{WARNING - SENTINEL COMBAT UNIT DEPLOYED}
SENTINELS_INCOMING4	{WARNING - SENTINEL WALKER DETECTED}
SENTINELS_INCOMING5	{WARNING - ELITE SENTINEL FORCE}
SENTINEL_POLICE_INCOMING	{WARNING - SENTINEL INTERCEPTORS INCOMING}
NEW_TECH	{New technology discovered!}
WPN_NOAMMO	{WEAPON CHARGE DEPLETED}
WPN_NOAMMO_ALT	{NO AMMO IN INVENTORY}
WPN_NOTECH	{No active technology in Multi-tool}
WPN_BROKEN	{%WEAPON% is critically damaged}
TECH_DAMAGED	{%TECH% critically damaged}
RELOAD	{RELOAD}
OVERHEAT	{OVERHEAT}
LEARNED_WORD	{You have learned the %RACE% word for '%WORD%'}
INTERACTION_COST	{%COST% %RESOURCE% required}
CHECK_STOCK	{Purchase Multi-tool}
SHOP_TRADEFROMSUIT	{Sell inventory items on the Galactic Network}
SHOP_DESC	{Welcome to the Galactic Trade Network}
SHOP_LANG	{Accessing Atlas traveller link.
Remote inventory sync initialised.

Standing by for user request...}
SHIP_OUT_OF_RANGE	{Starship out of range}
SHIP_TELEPORT_RANGE	{Item Teleportation Enabled}
INDEFINITE	{Indefinite}
UNDISCOVERED	{Undiscovered}
ARRIVE_IN	{Arrive in}
DISCOVERED_BY	{Discovered by:}
PLANET_NAME	{Planet name:}
DISTANCE	{Distance:}
INFORMATION	{INFORMATION}
CONTROL_SETTINGS	{CONTROL SETTINGS}
CONTROL_MODE	{Control Mode: %MODE%}
CONTROL_NORMAL	{Normal}
CONTROL_FLIGHT_INV	{Flight Stick}
CONTROL_ALL_INV	{Inverted}
INTERACT	{INTERACT}
INTERACT_PROMPT	{Interact}
BEACON_RECORDS_AVAIL	{Records Available...}
BEACON_RECORDS_NONE	{Trader Contact Request}
INTERACT_EMPTY	{Empty}
COMMON	{Common}
UNCOMMON	{Uncommon}
RARE	{Rare}
EXPLORER_PREFIX	{Entity Shell}
STRUCTURE_OUTPOST	{Outpost}
STRUCTURE_RUIN	{Ruins of}
CONSUMABLE	{CONSUMABLE}
REFINED	{Refined}
ALLOY	{Alloy}
CONTRABAND	{Contraband}
CREATURES	{CREATURES}
HUD_JUMPING	{Pulse Engine Active}
HUD_JUMP_ENGAGE	{Engaging Pulse Engine}
HUD_SCANNING	{Analysing...}
HUD_DISCOVERED_BY	{Discovered by:}
HUD_RELOAD	{RELOAD...}
HUD_SHIELD	{SHIELD}
COMMODITY	{oxide}
TECHNOLOGY	{silicate}
FUEL	{isotope}
INTERACT_SHOOT	{Destroy}
TECH_REPAIRED	{%TECH% repaired}
WPN_CHANGE	{%WEAPON% selected}
BINOC_NO_TECH	{No Analysis Visor installed}
BINOC_BROKEN	{Analysis Visor is critically damaged}
WEATHER_WARN	{WEATHER WARNING: INCOMING STORM}
WEATHER_WARN_LUSH	{WEATHER WARNING: SUPERHEATED RAINSTORM APPROACHING}
WEATHER_WARN_HOT	{WEATHER WARNING: INCOMING FIRESTORM DETECTED}
WEATHER_WARN_COLD	{WEATHER WARNING: INCOMING BLIZZARD DETECTED}
WEATHER_WARN_TOXIC	{WEATHER WARNING: TOXIC RAINSTORM APPROACHING}
WEATHER_WARN_RADIO	{WEATHER WARNING: RADIOACTIVE SUPERCELL APPROACHING}
WEATHER_OVER	{WEATHER UPDATE: STORM CLEARING}
SUBSTANCE	{Substance}
PRODUCT	{Product}
DEATH_COLLECT	{Restoring lost inventory}
DEATH_MARKER	{Grave}
METRES	{%DISTANCE%m}
HUD_UNDISCOVERED	{Undiscovered}
DISC_HUD_PLANET_TITLE	{%TYPE% - %PLANET%}
DISC_HUD_PLANET_SUBTITLE	{%INFO% Planet - %DISCOVERER%}
NOOXYGEN_L	{Oxygen}
EXTREMECOLD_L	{Extreme Cold}
EXTREMEHEAT_L	{Extreme Heat}
RADIATION_L	{Radiation}
TOXICGAS_L	{Toxic Rain}
SHIP_MARKER	{YOUR STARSHIP}
SHIP_MARKER_L	{Your Starship}
DEATH_VOLUNTARY	{Life became too hard}
STAT_MESSAGES_TITLE	{JOURNEY MILESTONE ACCOMPLISHED}
DISC_HUD_MOON_SUBTITLE	{%INFO% Moon - %DISCOVERER%}
HUD_JUMP_FUEL	{Fuel Remaining}
NEW_PRODUCT	{New product formula learned!}
LOCKED_DOOR	{Locked Door}
DISC_TYPE_MOON	{Moon}
DISC_TYPE_PLANET	{Planet}
DISC_TYPE_SYSTEM	{System}
DISC_HUD_SYSTEM_TITLE	{System - %SYSTEM%}
NEW_GALAXY	{New Galaxy Discovered}
NEW_PLANET	{New Planet Discovered}
NEW_SOLAR	{New Star System Discovered}
SOLAR_SYSTEM	{Star System}
PLANET	{Planet}
MOON	{Moon}
GALACTIC_CENTRE	{Galactic Centre}
BLACK_HOLE	{Black Hole}
ATLAS_STATION	{Atlas Interface}
ATLAS_STATION_DISC	{Atlas Interface Discovered}
BLACK_HOLE_DISC	{Black Hole Discovered}
ANOMALY_DETECT	{Anomaly Detected}
SIGNAL_DISRUPT	{Signal Boosters Disrupted}
BLACK_HOLE_SUCCESS	{Black Hole Warp Successful. Distance Travelled %DISTANCE%}
VALUE_UNITS	{Units}
ENERGY	{Energy}
BATTLE_MARKER	{DISTRESS SIGNAL}
BOUNTY_MARKER	{BOUNTY %AMOUNT%}
BATTLE_ALERT	{Battle detected}
BATTLE_GAL_BLOCK	{Hyperdrive offline - Local enemy disruption}
PATCH1_TITLE	{Patch Notes}
PATCH1_NOTES	{Update 1.03 
Hello Games has been hard at work to improve No Man's Sky. 

We've had to regenerate the universe.

NOTE! Your in-game location may be adjusted as a result. Your overall progress will be unaffected.

* Terrain is more weird and varied. Destruction is more powerful.
* LOD generation entirely asynchronous.
* Scanning from space now possible.
* Extreme hazardous planets may now be generated. Please exercise caution upon planetfall. 
* Low atmosphere planets may now be generated.
* Tuned frequency and intensity of space conflict. Ship bounties added. Expect trouble.
* Streamlined inventory management.
* Guidance and freedom are now optional.
* More secrets.

Going to sleep now.}
NO_TARGET	{No Target}
BUILDING_ATLAS	{ATLAS INTERFACE}
BUILD_PROD	{CRAFT PRODUCT}
BUILD_PROD_DESC	{Create a useful, or valuable, material}
BUILD_TECH	{INSTALL TECHNOLOGY}
BUILD_TECH_DESC	{Create a new tech to upgrade your equipment}
BUILD_WEAP_DESC	{Create multi-tool upgrades and improvements}
BUILD_SHIP_DESC	{Create a new tech to upgrade your starship}
TRANSFER	{TRANSFER ITEMS}
TRANSFER_DESCSH	{Transfer elements between your starship and exosuit inventory}
TRANSFER_DESC	{Teleport elements carried in your exosuit inventory to your starship}
TRANSFER_FAIL	{TRANSFER ABORTED - STARSHIP PROXIMITY ERROR}
EMPTY_SLOT	{MODIFY}
BLDBUT_TECH	{Build technology using elements stored in exosuit inventory}
BLDBUT_PROD	{Build product using elements stored in exosuit inventory}
BLDBUT_NO	{Insufficient element resources}
BUILD	{BUILD}
BUILD_TITLE	{Build}
CONSOLE_TITLE	{raljar@stationmain “ $ pwd}
TRADE_SUIT	{Trade items from your exosuit inventory}
TRADE_SHIP	{Sell cargo and technology from your starship}
BUY_SHIP	{BUY THE STARSHIP}
SHOP_DECLINE	{DECLINE PURCHASE}
CHARGE	{CHARGE}
CHARGE_DESC	{Charge equipment with %TYPE%}
CHARGE_DESC_SHORT	{Charge equipment}
SHIP_SUBTITLE	{Manage Starship Inventory with <IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>}
SUIT_TITLE	{EQUIPMENT}
SUIT_SUBTITLE	{Manage Exosuit Inventory with <IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>}
WEAP_SUBTITLE	{Install technology companion units and charge ammunition clips}
SHIP_SUB_OLD	{Install technology and manage your starship's cargo}
SUIT_SUB_OLD	{Install technology and manage your exosuit inventory}
WEAP_SUB_OLD	{Install technology companion units and charge ammunition clips}
DISCOVERY_SUBTITLE	{Traveller registry of creature encounters}
DISCOVERY_TITLE	{Atlas Discovery Network}
OFFERING	{MAKE AN OFFERING}
COMPARE	{COMPARE}
DLG_OFFER_ACCEPT	{THE STRANGER SEEMS PLEASED WITH YOUR OFFER.}
DLG_OFFER_REJECT	{THE STRANGER IS NOT IMPRESSED.}
OFFER	{OFFER}
OFFER_DESC	{Choose something to offer the stranger}
REQUIREMENTS	{Requirements}
BUILD_MORE	{Build more using}
DISMANTLE	{DISMANTLE}
DISMANTLE_DESC	{Disassemble to increase capacity and gain resources}
DISCARD	{DISCARD}
DISCARD_DESC	{Destroy unwanted resources}
DISC_RENAME	{RENAME}
DISC_RENAME_DESC	{Name your discovery}
DISC_RENAMEUPLOAD	{RENAME AND UPLOAD}
DISC_VIEW	{VIEW}
DISC_VIEW_DESC	{View all information gathered on this planet}
DISC_SET_WAYPNT	{SET WAYPOINT}
DISC_SET_WAYPNT_DESC	{Set waypoint on your galactic map}
DISC_DETAILS	{Discovery Details}
DISC_UPLOAD	{UPLOAD}
DISC_UPLOAD_DESC	{Upload discovery to receive %REWARD% Units}
DISC_UPLOAD_DESC_NANITES	{Upload discovery to receive %REWARD% Nanite Clusters}
DISC_UPLOADED	{Discovery uploaded}
DISC_UPLOADED_CREDIT	{Discovery uploaded. %REWARD% Units received.}
DISC_UPLOADED_CREDIT_NANITES	{Discovery uploaded. %REWARD% Nanite Clusters received.}
DISC_HEIGHT	{Height}
DISC_WEIGHT	{Weight}
DISC_SOLARSYSTEM	{Solar System}
DISC_ON	{Discovered on}
DISC_MADE_ON	{Discovery made on %DATE%}
DISC_PLANET_TITLE	{Star Systems}
DISC_INFO_TITLE	{Records}
DISC_DISCOVERIES_TITLE	{Discoveries}
DISC_LOG_TITLE	{Star Log}
DISC_DAY_TITLE	{Day %DAY%}
DISC_NO_LOCAL_PLANET	{No Planet In Local Vicinity}
DISC_DISC_BY	{Discovered by: %USER%}
DISC_WAYPOINT_TITLE	{Waypoints Discovered}
DISC_SYSTEM_LABEL	{SYSTEM - %SYSTEM%}
DISC_PLANET_LABEL	{PLANET - %PLANET%}
PLANET_DIST_STAT	{Distance From Centre Of The Galaxy}
PLANET_DISC_ON_STAT	{First Discovered}
PLANET_DISC_BY_STAT	{Discovered by}
PLANET_BIOME_STAT	{Biome}
BIO_UNKNOWN	{Unknown}
BIO_LUSH	{Lush}
