location,source
UI_GUIDE_TITLE,{GUIDE}
UI_GUIDE_HEADING_SURVIVAL,{Survival Basics}
UI_GUIDE_HEADING_EXPLORATION,{Navigation & Discovery}
UI_GUIDE_HEADING_DISCO,{Exploration}
UI_GUIDE_HEADING_TRADE,{Trade & Standing}
UI_GUIDE_HEADING_COMBAT,{Combat}
UI_GUIDE_HEADING_CATALOGUE,{CATALOGUE}
UI_GUIDE_HEADING_PRODUCT_CATA,{Crafted Products}
UI_GUIDE_HEADING_SUB_CATA,{Raw Materials}
UI_GUIDE_HEADING_TECH_CATA,{Technology}
UI_GUIDE_HEADING_BUILD_CATA,{Building Parts}
UI_GUIDE_TOPIC_SURVIVAL_BASICS,{Getting Started}
UI_GUIDE_TOPIC_SURVIVAL_1,{Life Support}
UI_GUIDE_TOPIC_SURVIVAL_2,{Hazard Protection}
UI_GUIDE_TOPIC_SURVIVAL_3,{Gathering Resources}
UI_GUIDE_TOPIC_SURVIVAL_4,{Recharging Systems}
UI_GUIDE_TOPIC_SURVIVAL_5,{Getting Around}
UI_GUIDE_TOPIC_SURVIVAL_6,{Base Construction}
UI_GUIDE_TOPIC_EXPLORATION_1,{Planetary Traversal}
UI_GUIDE_TOPIC_EXPLORATION_2,{Finding Resources}
UI_GUIDE_TOPIC_EXPLORATION_3,{Finding Points of Interest}
UI_GUIDE_TOPIC_EXPLORATION_4,{Making Discoveries}
UI_GUIDE_TOPIC_EXPLORATION_5,{Flight Navigation}
UI_GUIDE_TOPIC_EXPLORATION_6,{Vehicles}
UI_GUIDE_TOPIC_EXPLORATION_7,{Exocraft Races}
UI_GUIDE_TOPIC_TRADE_1,{Making Money}
UI_GUIDE_TOPIC_TRADE_2,{Farming}
UI_GUIDE_TOPIC_TRADE_3,{Interstellar Trade}
UI_GUIDE_TOPIC_TRADE_4,{Freighters}
UI_GUIDE_TOPIC_TRADE_5,{The Mission Board}
UI_GUIDE_TOPIC_TRADE_6,{Crafting}
UI_GUIDE_TOPIC_TRADE_7,{Factions & Standing}
UI_GUIDE_TOPIC_COMBAT_1,{Sentinels}
UI_GUIDE_TOPIC_COMBAT_2,{Weapon Management}
UI_GUIDE_TOPIC_COMBAT_3,{Defensive Systems}
UI_GUIDE_TOPIC_COMBAT_4,{Ground Combat}
UI_GUIDE_TOPIC_COMBAT_5,{Space Combat}
UI_GUIDE_UNKNOWN,{???}
UI_GUIDE_BODY_SURVIVAL_BASICS,{<VAL_ON>Hazard Protection<> is vital if you plan to spend time away from your ship. Carry <COMMODITY>Sodium<> or <COMMODITY>Ion Batteries<>. Have a plan to find <VAL_ON>shelter in caves or structures<>. Many hazards are worse at night. Use the <TECHNOLOGY>Scanner<> (<IMG>SCAN<>) to locate resources. Nearby creatures marked with a <FUEL>Red Paw<> are predators and may be dangerous. Use your <TECHNOLOGY>Analysis Visor<> (<IMG>AIM<>) to identify them from afar (zoom with <IMG>ZOOM<>). Sentinels will not intervene if you attack a predator. The <TECHNOLOGY>Analysis Visor<> will also identify points of interest from afar. Use the Visor (<IMG>AIM<>) to locate buildings and supply caches. These locations are often rich in <VAL_ON>resources<> and <VAL_ON>information<>. The <VAL_ON>backpack icon<> in the bottom right shows inventory status. Not everything is immediately useful. Prioritise the materials to maintain your exosuit. Advanced products can always be found again. Acquire vital survival upgrades from <TECHNOLOGY>Technology Merchants<> on space stations and planetary shops.}
