location,source,target,id,fuzzy,context,translator_comments,developer_comments
FLEET_TRADING_GENERIC_5,{Invested in %RACE% business on planet %PLANET%. Return on investment: 1%NUM%%.},,,,,,
FLEET_TRADING_GENERIC_6,{Cultivated good relations with the %RACE%. Secured preferential trade deal in %SYSTEM% System.},,,,,,
FLEET_TRADING_GENERIC_7,"{Bartered with %RACE% traders in %SYSTEM% System. Favourable trade, 1%NUM%% profit.}",,,,,,
FLEET_EXPLORE_GENERIC_1,{Deployed cartographic drones on planet %PLANET%. Topology data complete. Filing to universal archive.},,,,,,
FLEET_EXPLORE_GENERIC_2,{Undertook orbital probe of planet %PLANET%. 3D scan accuracy: %NUM%%. Continuing survey.},,,,,,
FLEET_EXPLORE_GENERIC_3,{Omni-directional survey of %SYSTEM% System successful. Long-range scanner at %NUM%% power.},,,,,,
FLEET_EXPLORE_GENERIC_4,"{Surveyed %SYSTEM% System, class %CLASS%. Supplemented probe data with local knowledge. Filing reports to universal archive.}",,,,,,
FLEET_EXPLORE_GENERIC_5,{Surveyed flora in %SYSTEM% Sector. Discovered and catalogued %NUM% new species.},,,,,,
FLEET_EXPLORE_GENERIC_6,{Surveyed fauna in %SYSTEM% Sector. Discovered %NUM% new species. DNA samples archived.},,,,,,
FLEET_EXPLORE_GENERIC_7,"{Collected minerals in %SYSTEM% System. Sampled %NUM% tonnes, noted several novel crystal structures.}",,,,,,
FLEET_EXPLORE_GENERIC_8,"{Collected data in the %SYSTEM% Sector, star class: %CLASS%. Surveyed stellar bodies, filed reports to universal archive.}",,,,,,
FLEET_EXPLORE_GENERIC_9,{Surveyed %CLASS%-class star in the %SYSTEM% Sector. Solar activity at %NUM%% of expected maximum.},,,,,,
FLEET_EXPLORE_GENERIC_10,{Performed deep-space scan in %SYSTEM% Sector. Celestial bodies observed: %NUM%. Primary star class: %CLASS%.},,,,,,
FLEET_COMBAT_EMPTY_1,{Patrolled %SYSTEM% System. Nothing to report.},,,,,,
FLEET_COMBAT_EMPTY_2,{No activity on long-range scanners. %SYSTEM% Sector at peace.},,,,,,
FLEET_COMBAT_EMPTY_3,{%SYSTEM% System peaceful. No hostile activity detected.},,,,,,
FLEET_COMBAT_EMPTY_4,{%SYSTEM% System reports no hostile activity. Continuing patrol.},,,,,,
FLEET_MINING_EMPTY_1,{Survey of %SYSTEM% System revealed total absence of valuable minerals.},,,,,,
FLEET_MINING_EMPTY_2,{Ground survey conducted on planet %PLANET%. Nothing found.},,,,,,
FLEET_MINING_EMPTY_3,{Mined asteroid belt in %SYSTEM% System. No valuable metal found.},,,,,,
FLEET_MINING_EMPTY_4,{Conducted comprehensive survey of %SYSTEM% System. No asteroids found.},,,,,,
FLEET_TRADING_EMPTY_1,{Arrived in %SYSTEM% System. Insignificant trade activity. Plotted new course.},,,,,,
FLEET_TRADING_EMPTY_2,{Attempted trade in %SYSTEM% System. Local economy too weak for profitable trades.},,,,,,
FLEET_TRADING_EMPTY_3,{Collected goods from planet %PLANET%. Goods were of poor quality. Unable to resell.},,,,,,
FLEET_TRADING_EMPTY_4,{Purchased goods in %SYSTEM% System. Demand low. Sold at a small loss.},,,,,,
FLEET_EXPLORE_EMPTY_1,{Docked at %SYSTEM% Station. Took on fresh supplies.},,,,,,
FLEET_EXPLORE_EMPTY_2,{Surveyed planet %PLANET%. Nothing of interest found.},,,,,,
FLEET_EXPLORE_EMPTY_3,{Planet %PLANET% surveyed. Planet completely barren. Moving to next system.},,,,,,
FLEET_EXPLORE_EMPTY_4,{Dispatched scouts across the %SYSTEM% System. All reports negative. Moving to next system.},,,,,,
FLEET_COMBAT_T1_1,{Intervened in system-level squabble between trade factions in the %SYSTEM% Sector. Peace restored. Valuable debris seized.},,,,,,
FLEET_COMBAT_T1_2,{Enforced no-fly zone in %SYSTEM% System. Rewarded by local %RACE% authorities.},,,,,,
FLEET_COMBAT_T1_3,{Supplied orbital escort to assist local %RACE% forces on planet %PLANET%. Smuggler removal operation highly successful. Awarded share of seized contraband.},,,,,,
FLEET_COMBAT_T1_4,{Assisted system authorities in keeping the peace in the %SYSTEM% System. Weapons armed but not fired. Rewarded by local citizens.},,,,,,
FLEET_COMBAT_T1_5,{Hunted and destroyed troublemakers at the request of local space station chief. Rewarded by %RACE% authorities.},,,,,,
FLEET_COMBAT_T1_6,{Encountered a Vy'keen death cult. Granted their wishes.},,,,,,
FLEET_COMBAT_T1_7,{Came to the aid of local authorities. Freed space station from hostile blockade. Hostiles arrested and exiled.},,,,,,
FLEET_COMBAT_T1_8,{Prevented military coup from displacing legitimate system authorities. Rebel %RACE% exterminated.},,,,,,
FLEET_COMBAT_T1_9,{Disarmed a Gek corporation in the process of an extremely hostile takeover. Conflict taken to peaceful arbitration.},,,,,,
FLEET_COMBAT_T1_10,"{Assisted system authority interceptors responding to a distress call. Six confirmed kills, three hostiles escaped. No innocent lives lost.}",,,,,,
FLEET_COMBAT_T1_11,{Intercepted Gek raiding parties attempting to take prisoners in a Korvax system. All hostile vessels destroyed.},,,,,,
FLEET_COMBAT_T1_12,"{Dispatched landing crews to infiltrate hostile planetary facility. Siege weapons disabled, base neutralised.}",,,,,,
FLEET_COMBAT_T1_13,{Long-range scanners detected system-level conflict. Intervened with maximum force. De-escalation successful.},,,,,,
FLEET_COMBAT_T1_14,{Responded to merchant freighter in distress. Destroyed several hostile starships. Assisted merchant vessel with repairs.},,,,,,
FLEET_COMBAT_T1_15,{Responded to multiple distress signals in the %SYSTEM% Sector. All callers saved with minimal damage. All hostile ships destroyed.},,,,,,
FLEET_COMBAT_T1_16,{Engaged rogue capital ship with assistance from system authorities. Operation successful. Hostile ship destroyed for scrap.},,,,,,
FLEET_COMBAT_T1_17,{Dispatched boarding crew to hostile orbital platform. Operation successful: hostiles neutralised within %NUM% minutes of landing. Platform weapons destroyed.},,,,,,
FLEET_COMBAT_T1_18,"{Dispatched boarding crew to investigate space station distress signal. Identified hostages, completed rescue with no casualties. Rewarded by Merchants Guild.}",,,,,,
FLEET_COMBAT_T1_19,"{Dispatched boarding crew to investigate distress signal from merchant freighter. Officers freed from brig, mutiny averted.}",,,,,,
FLEET_COMBAT_T1_20,{Repelled attempted boarding. Hostile forces captured. Captives profitably ransomed back to their parent crew.},,,,,,
FLEET_COMBAT_T1_21,{Boarding crew assisted local authorities with inspection aboard suspected smuggler freighter. Contraband recovered.},,,,,,
FLEET_COMBAT_T1_22,{Boarding crew dispatched to Gek slave freighter. Captives freed and given command of the ship. Previous crew vented into space.},,,,,,
FLEET_COMBAT_T1_23,"{Boarding crew infiltrated smuggler freighter. Cargo hold opened unnoticed, contraband scooped by waiting starships.}",,,,,,
FLEET_COMBAT_T1_24,{Cargo scan revealed suspect freighter to be carrying illegal goods. Boarding crews discover no lifeforms onboard. Contraband recovered.},,,,,,
