location,source
NAMEGEN_PLANET_ADORN_1,{Prime}
NAMEGEN_PLANET_ADORN_2,{Major}
NAMEGEN_PLANET_ADORN_3,{Minor}
NAMEGEN_PLANET_ADORN_4,{Alpha}
NAMEGEN_PLANET_ADORN_5,{Beta}
NAMEGEN_PLANET_ADORN_6,{Gamma}
NAMEGEN_PLANET_ADORN_7,{Delta}
NAMEGEN_PLANET_ADORN_8,{Omega}
NAMEGEN_PLANET_ADORN_9,{Sigma}
NAMEGEN_PLANET_ADORN_10,{Tau}
NAMEGEN_PLANET_STYLE_1,{%PROCNORM%}
NAMEGEN_PLANET_STYLE_2,{%PROCNORM% %ADORN%}
NAMEGEN_PLANET_STYLE_3,{%PROCNORM% %NUMERAL%}
NAMEGEN_PLANET_STYLE_4,{%PROCNORM% %SHORTCODE%}
NAMEGEN_PLANET_STYLE_5,{%PROCLONG% %PROCSHORT%}
NAMEGEN_PLANET_STYLE_6,{%PROCSHORT% %LONGCODE%}
NAMEGEN_PLANET_STYLE_7,{%PROCNORM%}
NAMEGEN_PLANET_STYLE_8,{%PROCNORM% %ADORN%}
NAMEGEN_PLANET_STYLE_9,{%PROCNORM% %NUMERAL%}
NAMEGEN_PLANET_STYLE_10,{New %PROCNORM%}
NAMEGEN_SPACESTATION_1,{%SYSNAME% Station}
NAMEGEN_SPACESTATION_2,{%SYSNAME% Orbital}
NAMEGEN_SPACESTATION_3,{%SYSNAME% Station}
NAMEGEN_SPACESTATION_4,{%SYSNAME% Station Alpha}
NAMEGEN_SPACESTATION_5,{%SYSNAME% Station Beta}
NAMEGEN_SPACESTATION_6,{%SYSNAME% Station Omega}
NAMEGEN_SPACESTATION_7,{%SYSNAME% Cycler}
NAMEGEN_SPACESTATION_8,{%SYSNAME% Rendezvous}
NAMEGEN_SPACESTATION_9,{%SYSNAME% Hub}
NAMEGEN_SPACESTATION_10,{%SYSNAME% Terminus}
NAMEGEN_SPACESTATION_11,{%SYSNAME% Station Sigma}
NAMEGEN_SPACESTATION_12,{%SYSNAME% Junction}
NAMEGEN_SPACESTATION_13,{%SYSNAME% Station Tau}
NAMEGEN_SPACESTATION_14,{%SYSNAME% Exchange}
NAMEGEN_SPACESTATION_15,{%SYSNAME% Prime}
NAMEGEN_SPACESTATION_16,{%SYSNAME% Station Minor}
NAMEGEN_SPACESTATION_17,{%SYSNAME% Station Major}
NAMEGEN_SPACESTATION_18,{%SYSNAME% Platform}
NAMEGEN_SPACESTATION_19,{The %SYSNAME% Sphere}
NAMEGEN_SPACESTATION_20,{%SYSNAME% Stellar Observer}
NAMEGEN_WEAP_FORMAT_1,{%NOUN% of %PROPERTY%}
NAMEGEN_WEAP_FORMAT_2,{%PROCNAME%'s %WEAP1% %WEAP2%}
NAMEGEN_WEAP_FORMAT_3,{%NOUN% of %PROPERTY% %SERIALNUM%}
NAMEGEN_WEAP_FORMAT_4,{%NOUN% of %PROCNAME%-%NUMERAL%}
NAMEGEN_WEAP_FORMAT_5,{%WEAP1% %WEAP2% Mark %NUMERAL%}
NAMEGEN_WEAP_FORMAT_6,{%WEAP1% %WEAP2% %SERIALNUM%}
NAMEGEN_WEAP_FORMAT_7,{%ADJECTIVE% %WEAP1% %WEAP2%}
NAMEGEN_WEAP_FORMAT_8,{%ADJECTIVE% %PROCNAME% %WEAP2%}
