location,source
FLEET_COMBAT_SPECIAL_OPT_B_12,{Tell them to end the pursuit}
FLEET_COMBAT_SPECIAL_RES_A_12,"{I tell the fleet commander to continue the hunt. They may be hungry, but how will the crew feel if they give up and their efforts were for nothing?}"
FLEET_COMBAT_SPECIAL_RES_B_12,{I tell the fleet commander to end their chase. There will be other bounties. The health and loyalty of the crew is more important than any prize.}
FLEET_COMBAT_SPECIAL_LOG_A_12,"{Stalked a pirate across the %SYSTEM% Sector. Forced to stay in low-heat signature mode to avoid detection. Despite difficult conditions, crew performed admirably. Hostiles destroyed.}"
FLEET_COMBAT_SPECIAL_LOG_B_12,"{Stalked a pirate across the %SYSTEM% Sector. Forced to stay in low-heat signature mode to avoid detection. Conditions became difficult, and the crew made several sloppy mistakes. Fugitive able to escape.}"
FLEET_COMBAT_SPECIAL_LOG_C_12,"{Stalked a pirate across the %SYSTEM% Sector. Forced to stay in low-heat signature mode to avoid detection. On advice of the %CAP_RACE%, ended the chase when conditions became too difficult for the crew to operate safely.}"
FLEET_COMBAT_SPECIAL_13,"{%CAP_RACE%, the expedition requires your advice! We are pursuing a bounty, and believe we have found our target. A vicious pirate, they have disguised themselves as a trader and are flying in formation with a merchant convoy. We are almost certain we have identified the correct ship. Shall we attack?}"
FLEET_COMBAT_SPECIAL_OPT_A_13,{Give the order to attack}
FLEET_COMBAT_SPECIAL_OPT_B_13,{Give the order to withdraw}
FLEET_COMBAT_SPECIAL_RES_A_13,{I give the fleet commander the order to attack. I trust their judgement.}
FLEET_COMBAT_SPECIAL_RES_B_13,{I tell the fleet commander to stay their attack. The consequences of destroying a civilian freighter would be dire indeed.}
FLEET_COMBAT_SPECIAL_LOG_A_13,"{Hunted pirates in the %SYSTEM% System. On advice of the %CAP_RACE%, picked off a notorious fugitive disguised as a merchant. Operation successful.}"
FLEET_COMBAT_SPECIAL_LOG_B_13,"{On advice of the %CAP_RACE%, attacked a suspected pirate disguised as a merchant vessel. Ship was misidentified. Local authorities responded to this attack on an innocent trader. Heavy damage taken.}"
FLEET_COMBAT_SPECIAL_LOG_C_13,"{Hunted pirates in the %SYSTEM% System. Made partial identification of notorious fugitive disguised as merchant. On advice of the %CAP_RACE%, avoided a confrontation.}"
FLEET_COMBAT_SPECIAL_14,"{%CAP_RACE%, we require urgent advice! We have received a communication from a heavily-armed freighter group. But the signal is distorted, and we cannot make out their intentions. What shall we do? Engage peacefully? Or arm the weapons?}"
FLEET_COMBAT_SPECIAL_OPT_A_14,{Communicate peacefully}
FLEET_COMBAT_SPECIAL_OPT_B_14,{Arm weapons and attack}
FLEET_COMBAT_SPECIAL_RES_A_14,"{I tell the commander to continue to hail the freighter, maintaining a peaceful stance.}"
FLEET_COMBAT_SPECIAL_RES_B_14,{I tell the commander to launch a preemptive attack. They cannot risk the safety of the expedition.}
FLEET_COMBAT_SPECIAL_LOG_A_14,"{Encountered another expedition in the %SYSTEM% Sector. On advice of the %CAP_RACE%, approached cautiously, hailing messages of peace. Other vessels were friendly. Valuable gifts exchanged.}"
FLEET_COMBAT_SPECIAL_LOG_B_14,"{Encountered another expedition in the %SYSTEM% Sector. On advice of the %CAP_RACE%, approached cautiously, hailing messages of peace. Other vessels opened fire. Significant damage taken.}"
FLEET_COMBAT_SPECIAL_LOG_C_14,"{Encountered another expedition in the %SYSTEM% Sector. Unable to determine their intentions. On advice of the %CAP_RACE%, deployed orbital weapons in all-out attack. All ships destroyed.}"
FLEET_COMBAT_SPECIAL_15,"{%CAP_RACE%, we need your advice! We have been approached by strange, organic-looking starships. They do not answer our hails. The crew are worried, and we have primed our weapons. How should we respond?}"
FLEET_COMBAT_SPECIAL_OPT_A_15,{Communicate peacefully}
FLEET_COMBAT_SPECIAL_OPT_B_15,{Attack before it's too late}
FLEET_COMBAT_SPECIAL_RES_A_15,{I tell the fleet commander not to risk an attack. Treat the starships as if they were envoys of the local system authorities.}
FLEET_COMBAT_SPECIAL_RES_B_15,{I tell the fleet commander not to risk the fleet. Raise shields and began the attack!}
FLEET_COMBAT_SPECIAL_LOG_A_15,"{Encountered alien-looking starships in the %SYSTEM% Sector. On advice of the %CAP_RACE%, sent messages on peace. Received strange signal in return. Signal translated into valuable technology data.}"
FLEET_COMBAT_SPECIAL_LOG_B_15,"{Encountered alien-looking starships in the %SYSTEM% Sector. On advice of the %CAP_RACE%, sent messages on peace. Vessels responded with high-energy weapons. Heavy damage taken.}"
FLEET_COMBAT_SPECIAL_LOG_C_15,"{Encountered alien-looking starships in the %SYSTEM% Sector. On advice of the %CAP_RACE%, armed weapons and attacked. Alien starships warped out instantaneously.}"
FLEET_MINING_SPECIAL_1,"{%CAP_RACE%! We require your advice! Subsurface sonar reports a particularly large mineral deposit not far beneath the ground. However, analysis also suggests the earth is highly unstable. Ground mining crew are standing by. Should we begin drilling?}"
FLEET_MINING_SPECIAL_OPT_A_1,{Say yes}
FLEET_MINING_SPECIAL_OPT_B_1,{Say no}
FLEET_MINING_SPECIAL_RES_A_1,"{I give the fleet commander the go-ahead. What is the purpose of these expeditions, if not to explore the earth and gain its treasure?}"
FLEET_MINING_SPECIAL_RES_B_1,{I tell the fleet commander not to take the risk. There are plenty of accessible minerals without having to venture into unstable caves.}
FLEET_MINING_SPECIAL_LOG_A_1,{Found high-value mineral deposits in geologically unstable area. Began mining after taking advice from the %CAP_RACE%. Crew probed and avoided potential fault-lines. Operation successful.}
FLEET_MINING_SPECIAL_LOG_B_1,{Found high-value mineral deposits in geologically unstable area. Took advice from the %CAP_RACE%and avoided drilling in dangerous terrain.}
FLEET_MINING_SPECIAL_LOG_C_1,"{Found high-value mineral deposits in geologically unstable area. Began mining after taking advice from the %CAP_RACE%. Crew hit fault-lines while drilling, cave collapsed. Ground crew lost, along with valuable equipment.}"
FLEET_MINING_SPECIAL_2,"{%CAP_RACE%, the expedition requires urgent assistance! Our mining operations attracted the attention of the Sentinels! We have evacuated the ground crew, but Sentinel starships have pursued the fleet into space. Please, help us!}"
FLEET_MINING_SPECIAL_3,"{%CAP_RACE%, the fleet requires your help! We were harvesting far-orbit asteroids when were attacked by Sentinels! We are attempting to hold them off, but their attacks are relentless! Please, we require immediate rescue!}"
FLEET_MINING_SPECIAL_4,"{%CAP_RACE%, disaster has struck the fleet! We mined too deep, stole too many precious minerals! The Sentinels have come for us, and we are surely doomed... unless... you are able to save us?}"
FLEET_MINING_SPECIAL_OPT_A_2,{Agree to help}
FLEET_MINING_SPECIAL_OPT_B_2,{Tell them to flee}
FLEET_MINING_SPECIAL_RES_A_2,{I reassure the fleet commander. I will be there soon.}
FLEET_MINING_SPECIAL_RES_B_2,{I tell the fleet commander I cannot help them. They must warp away as soon as possible.}
FLEET_MINING_SPECIAL_LOG_A_2,{Attacked by Sentinel forces after extensive mining in the %SYSTEM% Sector. %CAP_RACE% came to our defense. Fleet escaped with all cargo.}
FLEET_MINING_SPECIAL_LOG_B_2,"{Attacked by Sentinel forces after extensive mining in the %SYSTEM% Sector. %CAP_RACE% unable to defend the fleet. Cargo pods destroyed, heavy damage taken.}"
FLEET_MINING_SPECIAL_LOG_C_2,{Attacked by Sentinel forces after extensive mining in the %SYSTEM% Sector. Jettisoned collected minerals to lose weight. Made quick warp out of the system.}
FLEET_MINING_SPECIAL_5,{%CAP_RACE%. I hope this message finds you well. The fleet has arrived at a highly-lucrative mineral field in the %SYSTEM% Sector. We face a choice: to mine at the surface and battle the elements; or to drill into the earth and take our chances in the deep underground.}
FLEET_MINING_SPECIAL_OPT_A_5,{Mine the surface}
FLEET_MINING_SPECIAL_OPT_B_5,{Drill deep}
FLEET_MINING_SPECIAL_RES_A_5,"{Understood, %CAP_RACE%. I shall see to it that the miners are well-protected.}"
FLEET_MINING_SPECIAL_RES_B_5,"{Very well, %CAP_RACE%. We will prepare the drilling rig immediately.}"
FLEET_MINING_SPECIAL_LOG_A_5,{Began mining in the %SYSTEM% System. The %CAP_RACE% advised surface-based operations. Environmental shielding deployed to great effect. Operation successful.}
